textID,text,selected_text,sentiment,start_idx,end_idx,start_pred,end_pred,predictions,jcd_scr,res
088c60f138,my boss is bullying me...,bullying me,negative,7,8,7,9, bullying me...,0.3333333333333333,0
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,6,12,6,7, wow...,0.2,0
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,7,7,4,7, i really really like,0.3333333333333333,0
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,9,9,9,10, dangerously low,0.5,0
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative,4,11,9,11, sunburned,0.2,0
af3fed7fc3,is back home now      gonna miss every one,onna,negative,8,8,9,9, miss,0.0,0
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,4,18,15,16," fun,",0.09090909090909091,0
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,11,13,12,17,no internet access to twit,0.16666666666666666,0
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,16,21,19,21, not working too,0.5,0
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,25,34,30,30, unhappy,0.1111111111111111,0
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,8,9,4,9, that`s very funny.,0.3333333333333333,0
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,4,13,4,33," thats it, its the end. tears for fears vs eric prydz, dj hero http://bit.ly/2hpbg4",0.5714285714285714,0
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,7,15,4,15, i`m soooooo sleeeeepy!!!,0.6666666666666666,0
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,4,7,6,28," happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",0.047619047619047616,0
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive,6,8,6,15, avid fan of **** magazine and i love your magazines,0.3,0
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive,4,7,4,5, i love,0.6666666666666666,0
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,16,18,4,17," i donbt like to peel prawns, i also dont like",0.2222222222222222,0
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,14,24,15,19, i`m not thrilled,0.375,0
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,4,16,4,7, it is ****...,0.18181818181818182,0
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,4,7,7,7, funny,0.25,0
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,23,23,23,24, hurts now,0.5,0
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,6,9,6,6, torn,0.25,0
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,4,16,4,5, i lost,0.2222222222222222,0
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,27,27,4,21, what better way to spoil mum than to let her kick back and relax over a nice meal,0.0,0
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,16,17,15,17, im jealous....,0.0,0
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,6,7,4,8, he`s awesome...,0.0,0
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,24,26,25,25, sorry,0.3333333333333333,0
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,4,16,4,4, happy,0.1,0
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,4,8,4,5, i miss,0.5,0
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,15,17,13,14, awesome!!!!,0.0,0
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,4,13,4,4, happy,0.1111111111111111,0
a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive,7,13,8,8, wish,0.16666666666666666,0
